event_week,metric_name,estimated_effect,std_error,ci_low,ci_high
-8,log_order_count,0.0363763441472611,0.006060871998884612,0.024497035029447257,0.04825565326507494
-7,log_order_count,0.02296195478114571,0.009580531013599803,0.004184113994490098,0.04173979556780132
-6,log_order_count,-0.020230095800864545,0.015938268895707524,-0.05146910283645129,0.011008911234722203
-5,log_order_count,-0.015820161227473428,0.009328881541536552,-0.03410476904888507,0.002464446593938213
-4,log_order_count,0.07478677540093881,0.009827741707958288,0.05552440165334056,0.09404914914853706
-3,log_order_count,-0.05029331214766508,0.009509713364200416,-0.06893235034149789,-0.03165427395383227
-2,log_order_count,-0.09303816911601626,0.008328193207916173,-0.10936142780353196,-0.07671491042850055
-1,log_order_count,0.0,0.015821749472094665,-0.031010628965305542,0.031010628965305542
0,log_order_count,0.023207661161005255,0.008875046727359033,0.0058125695753815515,0.04060275274662896
1,log_order_count,0.019606128652560506,0.008608341822248181,0.00273377868095407,0.03647847862416694
2,log_order_count,0.022807391136012045,0.010847681691771886,0.001545935020139149,0.04406884725188494
3,log_order_count,0.014241263884376298,0.0099859813603084,-0.005331259581828167,0.033813787350580764
4,log_order_count,0.03910122433028429,0.009840051149128268,0.019814724077992885,0.0583877245825757
5,log_order_count,0.014170193127201136,0.009265662871991239,-0.003990506101901693,0.032330892356303965
6,log_order_count,-0.012409909147604425,0.008804970391989207,-0.029667651115903273,0.004847832820694422
7,log_order_count,0.033230878820010634,0.009598828014220911,0.014417175912137647,0.05204458172788362
8,log_order_count,0.03207265117723368,0.009641806763454266,0.01317470992086332,0.05097059243360404
9,log_order_count,-0.010414243867381656,0.009193679385921872,-0.028433855463788526,0.0076053677290252135
10,log_order_count,-0.017686249065666293,0.009196492120564982,-0.03571137362197366,0.0003388754906410718
11,log_order_count,-0.011473009856785454,0.008596311895582598,-0.028321781172127348,0.005375761458556439
12,log_order_count,0.0802953179439394,0.01979542514744554,0.04149628465494615,0.11909435123293266
-8,avg_fare_per_mile,0.5850870385560203,0.1097637956888431,0.3699499990058878,0.8002240781061527
-7,avg_fare_per_mile,1.0052391994039613,0.15374324990211824,0.7039024295958096,1.306575969212113
-6,avg_fare_per_mile,0.056911027558127714,0.15032571910095716,-0.2377273818797483,0.3515494369960037
-5,avg_fare_per_mile,2.3701785177095873,0.6174290419173233,1.1600175955516336,3.580339439867541
-4,avg_fare_per_mile,3.6101832332487334,0.24606761714539443,3.1278907036437604,4.092475762853707
-3,avg_fare_per_mile,1.2155695402725168,0.19486501469870735,0.8336341114630504,1.5975049690819834
-2,avg_fare_per_mile,0.26623718506950045,0.1827969075491932,-0.09204475372691823,0.6245191238659191
-1,avg_fare_per_mile,0.0,0.18653279790684021,-0.3656042838974068,0.3656042838974068
0,avg_fare_per_mile,-0.43962570234169274,0.12383815681041363,-0.6823484896901034,-0.19690291499328202
1,avg_fare_per_mile,0.2567397765397592,0.11521824594360885,0.030912014490285855,0.48256753858923257
2,avg_fare_per_mile,0.2971462482851006,0.15193699865370935,-0.0006502690761697183,0.5949427656463709
3,avg_fare_per_mile,0.51209172604241,0.1535585609236349,0.21111694663208563,0.8130665054527344
4,avg_fare_per_mile,0.28180000491058266,0.14656499112344598,-0.005467377691371456,0.5690673875125367
5,avg_fare_per_mile,1.2305904123892493,0.2524236455973272,0.7358400670184879,1.7253407577600106
6,avg_fare_per_mile,0.03695535174671161,0.12884737668273058,-0.21558550655144032,0.28949621004486353
7,avg_fare_per_mile,0.9685201610231777,0.2801578108485477,0.41941085176002424,1.517629470286331
8,avg_fare_per_mile,1.2113614612427357,0.16260856933624748,0.8926486653436907,1.5300742571417807
9,avg_fare_per_mile,0.8086618062704378,0.2333557270343235,0.35128458128316375,1.2660390312577119
10,avg_fare_per_mile,0.22699024946808866,0.17924276286761676,-0.12432556575244019,0.5783060646886176
11,avg_fare_per_mile,1.9414573425203505,1.369217198299533,-0.742208366146734,4.625123051187435
12,avg_fare_per_mile,0.8317202287291838,0.31785572556568076,0.2087230066204495,1.4547174508379181
