event_week,metric_name,estimated_effect,std_error,ci_low,ci_high
-8,log_order_count,-0.02993516195197743,0.004855750821104046,-0.03945243356134136,-0.0204178903426135
-7,log_order_count,-0.01971076750419587,0.00797018795880758,-0.03533233590345873,-0.004089199104933012
-6,log_order_count,-0.03601055213837501,0.01946537849038389,-0.07416269397952743,0.002141589702777419
-5,log_order_count,-0.02708081508829152,0.007693542015434965,-0.04216015743854405,-0.01200147273803899
-4,log_order_count,-0.024960127795298992,0.007185288271572313,-0.039043292807580725,-0.010876962783017259
-3,log_order_count,-0.03425399764498627,0.006104837542877722,-0.046219479229026604,-0.02228851606094593
-2,log_order_count,-0.04475124876816683,0.0063405556102661045,-0.05717873776428839,-0.03232375977204527
-1,log_order_count,0.0,0.016837254624800305,-0.033001019064608596,0.033001019064608596
0,log_order_count,-0.05560779831327034,0.0065782284741069995,-0.06850112612252006,-0.04271447050402062
1,log_order_count,-0.029217409877117406,0.0071455390330291855,-0.04322266638185461,-0.015212153372380202
2,log_order_count,-0.03806861609979262,0.009852972352241236,-0.057380441910185445,-0.018756790289399795
3,log_order_count,-0.026541808053134996,0.007110937723896126,-0.040479245991971405,-0.01260437011429859
4,log_order_count,-0.022443828053645976,0.008957498432779952,-0.040000524981894686,-0.004887131125397268
5,log_order_count,-0.05040680753120652,0.0071010030648019406,-0.06432477353821832,-0.036488841524194716
6,log_order_count,-0.05850979532788214,0.006372320877236229,-0.07099954424726515,-0.04602004640849913
7,log_order_count,0.01559870153203613,0.007889288985871776,0.00013569511972744835,0.03106170794434481
8,log_order_count,-0.018691355948892818,0.00841363798722723,-0.035182086403858184,-0.0022006254939274487
9,log_order_count,-0.03850310113950006,0.008769126489052412,-0.05569058905804279,-0.021315613220957336
10,log_order_count,-0.03320413041998027,0.00814789280551885,-0.04917400031879722,-0.017234260521163326
11,log_order_count,-0.03727804221465003,0.005975111057019818,-0.04898925988640887,-0.02556682454289119
12,log_order_count,-0.035175929196425204,0.01395151975771206,-0.06252090792154084,-0.007830950471309567
