pickup_zone,hour,order_count,avg_response_time_min,p50_response_time_min,p90_response_time_min,slow_response_rate
Allerton/Pelham Gardens,0,1,2.3,2.3,2.3,0.0
Allerton/Pelham Gardens,1,1,3.216666666666667,3.216666666666667,3.216666666666667,0.0
Allerton/Pelham Gardens,3,1,3.033333333333333,3.033333333333333,3.033333333333333,0.0
Allerton/Pelham Gardens,4,1,6.5,6.5,6.5,0.0
Allerton/Pelham Gardens,5,3,5.588888888888889,6.333333333333333,6.986666666666667,0.0
Allerton/Pelham Gardens,6,3,10.644444444444444,12.75,13.376666666666667,0.6666666666666666
Allerton/Pelham Gardens,7,5,4.46,4.116666666666666,6.463333333333334,0.0
Allerton/Pelham Gardens,8,4,2.654166666666667,2.425,3.286666666666667,0.0
Allerton/Pelham Gardens,9,4,2.5625,2.625,2.915,0.0
Allerton/Pelham Gardens,10,3,4.1499999999999995,3.6333333333333333,6.7,0.0
Allerton/Pelham Gardens,11,3,2.4055555555555554,2.933333333333333,2.986666666666667,0.0
Allerton/Pelham Gardens,12,4,3.4125,2.7,5.166666666666668,0.0
Allerton/Pelham Gardens,13,4,3.308333333333333,2.575,5.760000000000001,0.0
Allerton/Pelham Gardens,14,1,2.4166666666666665,2.4166666666666665,2.4166666666666665,0.0
Allerton/Pelham Gardens,15,3,2.422222222222222,2.966666666666667,3.166666666666667,0.0
Allerton/Pelham Gardens,16,4,4.016666666666667,1.85,8.456666666666669,0.25
Allerton/Pelham Gardens,17,5,3.013333333333333,3.05,3.83,0.0
Allerton/Pelham Gardens,18,5,5.2,2.1666666666666665,12.286666666666669,0.2
Allerton/Pelham Gardens,19,4,3.8666666666666663,4.166666666666666,4.67,0.0
Allerton/Pelham Gardens,20,5,3.35,2.4166666666666665,6.03,0.0
Allerton/Pelham Gardens,21,5,4.133333333333334,3.2666666666666666,6.4,0.0
Allerton/Pelham Gardens,22,5,2.9833333333333334,2.1333333333333333,4.41,0.0
Allerton/Pelham Gardens,23,1,4.533333333333333,4.533333333333333,4.533333333333333,0.0
Alphabet City,0,7,3.004761904761905,1.85,5.343333333333335,0.0
Alphabet City,1,4,2.6625,2.8833333333333333,4.066666666666666,0.0
Alphabet City,2,8,4.375,4.425000000000001,5.305,0.0
Alphabet City,3,3,4.433333333333334,4.816666666666666,4.99,0.0
Alphabet City,4,4,2.5,2.591666666666667,2.95,0.0
Alphabet City,6,3,3.8222222222222224,3.933333333333333,4.693333333333333,0.0
Alphabet City,7,3,3.088888888888889,1.6666666666666667,5.5200000000000005,0.0
Alphabet City,8,4,4.266666666666667,3.583333333333333,5.698333333333334,0.0
Alphabet City,9,6,2.6777777777777776,2.691666666666667,3.9333333333333336,0.0
Alphabet City,10,4,3.3625,2.975,5.155,0.0
Alphabet City,11,3,3.6277777777777778,4.85,5.33,0.0
Alphabet City,12,4,3.8708333333333336,4.25,4.5616666666666665,0.0
Alphabet City,13,3,2.272222222222222,2.1166666666666667,3.076666666666667,0.0
Alphabet City,14,5,2.4833333333333334,3.1666666666666665,4.216666666666667,0.0
Alphabet City,15,3,3.522222222222222,2.95,5.763333333333334,0.0
Alphabet City,16,8,3.989583333333333,4.308333333333334,5.62,0.0
Alphabet City,17,7,3.773809523809524,4.133333333333334,5.266666666666667,0.0
Alphabet City,18,6,4.427777777777778,4.883333333333333,6.283333333333333,0.0
Alphabet City,19,7,4.702380952380952,2.933333333333333,7.786666666666669,0.14285714285714285
Alphabet City,20,6,3.9722222222222228,2.7666666666666666,7.3500000000000005,0.16666666666666666
Alphabet City,21,7,4.052380952380952,3.1333333333333333,7.323333333333334,0.0
Alphabet City,22,6,6.911111111111111,6.1,10.841666666666667,0.16666666666666666
