date,hour,weekday,is_weekend,order_count,avg_trip_miles,avg_base_passenger_fare,avg_driver_pay
2024-11-01,0,4,False,25,6.61408,30.9896,24.3464
2024-11-01,1,4,False,26,5.692846153846154,27.269615384615385,20.412307692307692
2024-11-01,2,4,False,21,3.6281904761904764,23.135714285714286,18.218095238095238
2024-11-01,3,4,False,12,7.794583333333333,34.895833333333336,28.669166666666666
2024-11-01,4,4,False,14,5.504,25.939999999999998,21.976428571428574
2024-11-01,5,4,False,15,6.116,23.591333333333335,18.863999999999997
2024-11-01,6,4,False,8,6.6591249999999995,41.06875,29.13625
2024-11-01,7,4,False,24,3.405791666666667,17.478333333333335,14.070416666666667
2024-11-01,8,4,False,26,3.127076923076923,17.73576923076923,14.645384615384616
2024-11-01,9,4,False,19,4.333052631578948,20.931052631578947,17.55315789473684
2024-11-01,10,4,False,18,4.5264444444444445,25.679444444444446,19.61277777777778
2024-11-01,11,4,False,21,5.289238095238095,25.937619047619044,21.352857142857143
2024-11-01,12,4,False,25,5.48836,28.7612,23.9556
2024-11-01,13,4,False,29,4.558862068965517,27.486896551724136,21.473103448275864
2024-11-01,14,4,False,30,3.907566666666667,20.854666666666667,18.974666666666668
2024-11-01,15,4,False,20,2.2106000000000003,17.808,14.554499999999999
2024-11-01,16,4,False,27,3.7631111111111113,21.71481481481481,18.918518518518518
2024-11-01,17,4,False,40,4.445025,24.32225,21.5385
2024-11-01,18,4,False,42,5.291547619047619,28.165952380952383,23.035714285714285
2024-11-01,19,4,False,37,3.3780270270270267,22.934054054054055,18.053783783783786
2024-11-01,20,4,False,29,4.626275862068966,22.51137931034483,18.729655172413793
2024-11-01,21,4,False,32,4.9773125,22.888125000000002,18.9234375
2024-11-01,22,4,False,42,5.190595238095238,26.065238095238094,21.28761904761905
2024-11-01,23,4,False,41,6.084048780487805,27.379756097560975,23.02268292682927
2024-11-02,0,5,True,34,4.260088235294117,20.486470588235292,16.879117647058823
2024-11-02,1,5,True,32,5.11153125,22.611875,17.7540625
2024-11-02,2,5,True,13,3.7421538461538466,23.449999999999996,17.586153846153845
2024-11-02,3,5,True,19,5.473105263157895,24.411052631578947,20.82736842105263
2024-11-02,4,5,True,18,4.197777777777778,25.024444444444445,17.700555555555557
2024-11-02,5,5,True,7,3.5300000000000002,15.765714285714285,11.954285714285716
2024-11-02,6,5,True,7,7.784857142857143,30.109999999999996,23.832857142857144
2024-11-02,7,5,True,23,8.233130434782609,25.60565217391304,22.66695652173913
2024-11-02,8,5,True,14,5.627071428571428,21.59642857142857,16.803571428571427
2024-11-02,9,5,True,18,5.319333333333334,26.614444444444445,20.82888888888889
2024-11-02,10,5,True,19,6.262421052631579,26.895263157894735,21.76842105263158
2024-11-02,11,5,True,6,3.2678333333333334,16.82,11.963333333333333
2024-11-03,19,6,True,15,7.509600000000001,31.056,25.088666666666665
2024-11-03,20,6,True,26,4.296730769230769,21.816538461538464,17.54153846153846
2024-11-03,21,6,True,19,3.716157894736842,18.28421052631579,14.648947368421052
2024-11-03,22,6,True,32,6.87825,27.4175,22.528125
2024-11-03,23,6,True,16,7.513125,26.4575,23.80125
2024-11-04,0,0,False,10,6.1015999999999995,20.753,18.275
2024-11-04,1,0,False,11,3.8483636363636364,16.33,12.496363636363634
2024-11-04,2,0,False,3,21.74,57.973333333333336,50.81666666666666
2024-11-04,3,0,False,8,4.935625,22.32,15.1225
2024-11-04,4,0,False,5,6.0642000000000005,25.416000000000004,18.916
2024-11-04,5,0,False,10,6.9094,31.058999999999997,22.577
