pickup_zone,pickup_borough,pickup_order_count,avg_fare_per_mile,avg_driver_pay_per_minute,avg_response_time_min,dropoff_zone,dropoff_borough,dropoff_order_count
Upper West Side North,Manhattan,293.0,8.16033999455495,1.0834133229606868,3.345814648729447,Upper West Side North,Manhattan,247
Upper West Side South,Manhattan,314.0,8.840441867412052,1.0648132729468147,3.4859649122807017,Upper West Side South,Manhattan,300
Van Cortlandt Park,Bronx,33.0,4.226998917816738,1.1257507084541312,4.635000000000001,Van Cortlandt Park,Bronx,27
Van Cortlandt Village,Bronx,188.0,6.413799501304143,1.0390652995144902,4.124613686534217,Van Cortlandt Village,Bronx,152
Van Nest/Morris Park,Bronx,175.0,6.061551588855003,0.9762298597743491,3.7464367816091957,Van Nest/Morris Park,Bronx,205
Washington Heights North,Manhattan,266.0,6.734613193778497,1.0790340949396526,3.516829268292683,Washington Heights North,Manhattan,263
Washington Heights South,Manhattan,375.0,6.068968373529624,1.0833353911794292,3.5371004566210043,Washington Heights South,Manhattan,393
West Brighton,Staten Island,47.0,6.179572110989231,1.0932710778272554,5.551626016260163,West Brighton,Staten Island,33
West Chelsea/Hudson Yards,Manhattan,489.0,10.444619329733225,1.0702116161565212,3.593760907504363,West Chelsea/Hudson Yards,Manhattan,491
West Concourse,Bronx,252.0,6.847857356995664,0.9995933181169406,4.514900153609831,West Concourse,Bronx,261
West Farms/Bronx River,Bronx,127.0,5.782686661909486,1.0282076058756393,4.4412698412698415,West Farms/Bronx River,Bronx,119
West Village,Manhattan,405.0,10.485371950164616,1.0524095573481842,3.3002815315315317,West Village,Manhattan,376
Westchester Village/Unionport,Bronx,131.0,6.2435632062867805,1.0864532472132364,4.095216049382715,Westchester Village/Unionport,Bronx,125
Westerleigh,Staten Island,45.0,5.944388936621811,1.1365732869819292,4.945945945945946,Westerleigh,Staten Island,34
Whitestone,Queens,69.0,4.900715153036836,1.0913132485994954,4.763265306122449,Whitestone,Queens,55
Williamsbridge/Olinville,Bronx,231.0,6.266043351178989,1.049187993210651,4.675906735751296,Williamsbridge/Olinville,Bronx,189
Williamsburg (North Side),Brooklyn,465.0,9.052295455664149,1.0532035753719804,3.22263483642794,Williamsburg (North Side),Brooklyn,459
Williamsburg (South Side),Brooklyn,410.0,8.064580589151001,0.9872958204759569,3.801437699680511,Williamsburg (South Side),Brooklyn,432
Windsor Terrace,Brooklyn,78.0,6.6509944830485095,1.0428153474571427,3.8345454545454545,Windsor Terrace,Brooklyn,78
Woodhaven,Queens,200.0,6.0339445232878814,1.0341492153483443,4.196319018404908,Woodhaven,Queens,152
Woodlawn/Wakefield,Bronx,172.0,6.8962056588352,1.1489911019375612,4.695119047619048,Woodlawn/Wakefield,Bronx,133
Woodside,Queens,211.0,6.671377339215998,1.0162669604754078,3.3008130081300817,Woodside,Queens,256
World Trade Center,Manhattan,177.0,8.27974673317178,1.1138527627788872,3.6961442786069654,World Trade Center,Manhattan,183
Yorkville East,Manhattan,181.0,7.16299643064633,1.0636577631485162,4.427235772357723,Yorkville East,Manhattan,144
Yorkville West,Manhattan,294.0,7.251119750073289,1.0571525288966384,3.440046296296296,Yorkville West,Manhattan,277
