pickup_zone,pickup_borough,pickup_order_count,avg_fare_per_mile,avg_driver_pay_per_minute,avg_response_time_min,dropoff_zone,dropoff_borough,dropoff_order_count
Corona,Queens,154.0,6.276431991870166,0.9909026593224349,4.302435897435898,Corona,Queens,145
Country Club,Bronx,17.0,5.961266163631488,1.1540017681248531,4.745555555555556,Country Club,Bronx,15
Crotona Park,Bronx,2.0,2.675026452310826,0.9779452801596689,9.35,Crotona Park,Bronx,2
Crotona Park East,Bronx,122.0,6.708878559877742,0.9732539375302774,4.140880503144654,Crotona Park East,Bronx,129
Crown Heights North,Brooklyn,673.0,7.314352048368934,0.9522177889996556,4.360723270440252,Crown Heights North,Brooklyn,713
Crown Heights South,Brooklyn,206.0,8.199987758525614,0.9851475134953612,4.090461215932914,Crown Heights South,Brooklyn,204
Cypress Hills,Brooklyn,194.0,6.3170400917297345,0.9688271649994482,3.942688172043011,Cypress Hills,Brooklyn,153
DUMBO/Vinegar Hill,Brooklyn,193.0,7.281140635777345,1.0057147272372862,3.646750524109015,DUMBO/Vinegar Hill,Brooklyn,151
Douglaston,Queens,30.0,4.9740917349953095,1.092938556018589,5.116071428571429,Douglaston,Queens,32
Downtown Brooklyn/MetroTech,Brooklyn,231.0,7.14050713647014,0.9750987844503063,4.430571428571429,Downtown Brooklyn/MetroTech,Brooklyn,183
Dyker Heights,Brooklyn,93.0,6.8306503505366045,0.9170728475408614,3.5487012987012987,Dyker Heights,Brooklyn,90
East Chelsea,Manhattan,532.0,9.744571482847588,1.0616810043060396,3.430521091811414,East Chelsea,Manhattan,550
East Concourse/Concourse Village,Bronx,237.0,7.5431613300299905,0.9684514010742776,4.140934065934066,East Concourse/Concourse Village,Bronx,268
East Elmhurst,Queens,114.0,6.188461386043167,1.0761344080213995,3.875478927203065,East Elmhurst,Queens,105
East Flatbush/Farragut,Brooklyn,211.0,6.994600186876817,0.9415648707022839,4.171584699453552,East Flatbush/Farragut,Brooklyn,195
East Flatbush/Remsen Village,Brooklyn,243.0,7.015792671930582,0.8994483406410434,4.407698815566836,East Flatbush/Remsen Village,Brooklyn,235
East Flushing,Queens,62.0,5.59280224858128,1.0171909019226202,4.172666666666666,East Flushing,Queens,54
East Harlem North,Manhattan,389.0,6.763833262147754,1.0071641901816388,3.9372483221476506,East Harlem North,Manhattan,367
East Harlem South,Manhattan,362.0,6.674546626349916,1.0289405934966875,3.922716894977169,East Harlem South,Manhattan,338
East New York,Brooklyn,515.0,6.615858315550777,0.9761916124875173,3.776898481215028,East New York,Brooklyn,548
East New York/Pennsylvania Avenue,Brooklyn,134.0,6.654964492701967,0.9718396180138195,4.476696165191741,East New York/Pennsylvania Avenue,Brooklyn,159
East Tremont,Bronx,215.0,6.653311764739998,1.00500837538864,4.140285714285714,East Tremont,Bronx,203
East Village,Manhattan,645.0,9.37514859433744,1.0670752092796985,3.37928870292887,East Village,Manhattan,530
East Williamsburg,Brooklyn,387.0,7.589959774800449,0.9985669737598718,3.598789878987899,East Williamsburg,Brooklyn,381
Eastchester,Bronx,153.0,6.271514200828293,1.1013857516997891,4.530314960629921,Eastchester,Bronx,126
Elmhurst,Queens,371.0,6.817023728909066,0.9287409859328244,3.95106981981982,Elmhurst,Queens,335
Elmhurst/Maspeth,Queens,117.0,7.0019463404910995,1.0362966737780956,4.015740740740741,Elmhurst/Maspeth,Queens,130
Eltingville/Annadale/Prince's Bay,Staten Island,25.0,6.532547922550109,1.3227152006574667,5.0649999999999995,Eltingville/Annadale/Prince's Bay,Staten Island,32
Erasmus,Brooklyn,161.0,7.345161102194659,0.9362992900795288,4.04874686716792,Erasmus,Brooklyn,161
Far Rockaway,Queens,118.0,6.3571537396851125,1.2410406548242492,5.827946127946128,Far Rockaway,Queens,95
Financial District North,Manhattan,303.0,7.660998170638177,1.096648510740131,3.3056047197640117,Financial District North,Manhattan,273
Financial District South,Manhattan,116.0,6.983712966271706,1.1190284266714767,3.7444444444444445,Financial District South,Manhattan,140
Flatbush/Ditmas Park,Brooklyn,435.0,7.184472853818328,0.9491509128513039,3.9951807228915666,Flatbush/Ditmas Park,Brooklyn,393
Flatiron,Manhattan,286.0,10.056124959340199,1.0561999735694196,2.7563301282051285,Flatiron,Manhattan,299
Flatlands,Brooklyn,224.0,6.577419168246178,0.9212885214414362,4.454613935969868,Flatlands,Brooklyn,222
Flushing,Queens,264.0,6.306814797081439,1.0114611830070375,3.9294162826420886,Flushing,Queens,276
Flushing Meadows-Corona Park,Queens,12.0,5.194046199730608,1.2139622775651189,4.451666666666666,Flushing Meadows-Corona Park,Queens,26
Fordham South,Bronx,108.0,6.775607770345125,0.9993119945001532,4.310652920962199,Fordham South,Bronx,97
Forest Hills,Queens,341.0,6.529584151261517,0.986452708838208,3.8384469696969696,Forest Hills,Queens,332
Forest Park/Highland Park,Queens,6.0,5.274739485293207,1.0522356940493804,5.073333333333333,Forest Park/Highland Park,Queens,3
Fort Greene,Brooklyn,336.0,7.7801492234484115,0.9724756533099537,3.8296442687747034,Fort Greene,Brooklyn,291
Fresh Meadows,Queens,43.0,5.121638488678729,1.0361623038152747,3.698989898989899,Fresh Meadows,Queens,45
,,,,,,Freshkills Park,Staten Island,1
Garment District,Manhattan,248.0,10.51542659940965,1.1119044501165687,4.085374149659864,Garment District,Manhattan,233
Glen Oaks,Queens,38.0,4.610871395224394,1.1839939386212126,4.711616161616162,Glen Oaks,Queens,34
Glendale,Queens,125.0,6.477532651263301,0.9539545370048372,3.7524752475247523,Glendale,Queens,125
Gowanus,Brooklyn,102.0,7.703979832185386,0.9864768797757747,3.702027027027027,Gowanus,Brooklyn,77
Gramercy,Manhattan,395.0,10.21123993070688,1.0561205129712918,3.644333333333333,Gramercy,Manhattan,337
Gravesend,Brooklyn,69.0,6.878416477380213,1.032894442551802,3.3183333333333334,Gravesend,Brooklyn,73
Great Kills,Staten Island,29.0,5.427744908185197,1.1083303877041264,6.9437500000000005,Great Kills,Staten Island,37
Green-Wood Cemetery,Brooklyn,2.0,6.652769985974754,0.8650432630780207,3.1416666666666666,Green-Wood Cemetery,Brooklyn,2
Greenpoint,Brooklyn,457.0,7.46226654047771,0.9866548936612063,3.7311416921508664,Greenpoint,Brooklyn,480
Greenwich Village North,Manhattan,284.0,10.268805689403658,1.0566772057209837,3.107514880952381,Greenwich Village North,Manhattan,266
Greenwich Village South,Manhattan,317.0,10.589646782911121,1.0678388625612216,3.585587431693989,Greenwich Village South,Manhattan,268
Grymes Hill/Clifton,Staten Island,42.0,5.460366287590527,1.1388963424703995,5.591904761904762,Grymes Hill/Clifton,Staten Island,27
Hamilton Heights,Manhattan,238.0,6.842519198094559,1.0608501966937822,3.760215053763441,Hamilton Heights,Manhattan,210
Hammels/Arverne,Queens,70.0,6.570589766178087,1.1753828547037897,5.6042424242424245,Hammels/Arverne,Queens,57
Heartland Village/Todt Hill,Staten Island,34.0,4.888882735738927,1.1521726145574875,5.818279569892473,Heartland Village/Todt Hill,Staten Island,43
Highbridge,Bronx,180.0,6.589778175862619,1.0541439775982255,4.356962025316456,Highbridge,Bronx,154
Highbridge Park,Manhattan,3.0,5.589124107666962,1.3321010754226983,2.7083333333333335,Highbridge Park,Manhattan,7
Hillcrest/Pomonok,Queens,111.0,5.594824245298176,1.0258879160148093,3.490719696969697,Hillcrest/Pomonok,Queens,102
Hollis,Queens,65.0,5.986776205832074,1.085934966650859,4.690432098765432,Hollis,Queens,62
Homecrest,Brooklyn,166.0,8.48913608671599,1.0259600894931091,3.5586374695863747,Homecrest,Brooklyn,178
Howard Beach,Queens,72.0,5.17484683333925,1.0828382929034048,5.175,Howard Beach,Queens,81
Hudson Sq,Manhattan,172.0,10.627730890708731,1.160853536910355,3.335958005249344,Hudson Sq,Manhattan,123
Hunts Point,Bronx,155.0,6.349070346739218,1.0239527743334915,4.367073170731707,Hunts Point,Bronx,149
Inwood,Manhattan,188.0,6.406422233520339,1.0863713309124252,3.5186800894854584,Inwood,Manhattan,193
Inwood Hill Park,Manhattan,21.0,6.44539302306821,0.9981206766387113,3.658823529411765,Inwood Hill Park,Manhattan,10
JFK Airport,Queens,852.0,4.098864030647862,1.274860221868503,6.338905325443788,JFK Airport,Queens,1000
Jackson Heights,Queens,385.0,7.171570860567426,0.9605339669469377,3.8615511551155115,Jackson Heights,Queens,348
Jamaica,Queens,385.0,6.4763182559086925,0.9831090745983128,4.057514124293785,Jamaica,Queens,425
Jamaica Estates,Queens,79.0,5.910521946635384,0.999017939740435,3.6737745098039216,Jamaica Estates,Queens,68
Kensington,Brooklyn,82.0,7.797350694481951,1.0152718119456725,3.3248677248677247,Kensington,Brooklyn,99
Kew Gardens,Queens,104.0,6.077202550384457,0.9890561563135256,3.618992248062016,Kew Gardens,Queens,103
